コントロールカラム,商品管理番号（商品URL）,商品番号,販売価格
u,1100000000,1100000000,0
u,1110014000,1110014000,34300
u,1110014010,1110014010,34300
u,1110015000,1110015000,51300
u,1110015010,1110015010,51300
u,1110016000,1110016000,22300
u,1110017000,1110017000,23800
u,1110018000,1110018000,17200
u,1110018010,1110018010,17200
u,1110023000,1110023000,60300
u,1110023010,1110023010,60300
u,1110040000,1110040000,71000
u,1110041000,1110041000,86200
u,1110042000,1110042000,31000
u,1110043000,1110043000,31000
u,1110044000,1110044000,16900
u,1110044010,1110044010,16900
u,1110044020,1110044020,16900
u,1110044030,1110044030,16900
u,1110044040,1110044040,16900
u,1110050000,1110050000,95800
u,1110051000,1110051000,104700
u,1110052000,1110052000,125300
u,1110053000,1110053000,123000
u,1110054000,1110054000,144300
u,1110055000,1110055000,152900
u,1110060000,1110060000,35500
u,1110060010,1110060010,35500
u,1110060020,1110060020,35500
u,1110060030,1110060030,33400
u,1110070000,1110070000,45800
u,1110070010,1110070010,45800
u,1110070020,1110070020,45800
u,1110070030,1110070030,45800
u,1110071000,1110071000,17000
u,1110071010,1110071010,17000
u,1110071020,1110071020,17000
u,1110072000,1110072000,20000
u,1110080000,1110080000,88200
u,1110081000,1110081000,103500
u,1110082000,1110082000,104800
u,1120010000,1120010000,62400
u,1120010010,1120010010,62400
u,1120010020,1120010020,62400
u,1120010030,1120010030,62400
u,1120011000,1120011000,78000
u,1120011010,1120011010,78000
u,1120011020,1120011020,78000
u,1120011030,1120011030,78000
u,1120012000,1120012000,113100
u,1120012010,1120012010,113100
u,1120012020,1120012020,113100
u,1120012030,1120012030,113100
u,1120020000,1120020000,42900
u,1120020010,1120020010,42900
u,1120020020,1120020020,42900
u,1120020030,1120020030,42900
u,1120020040,1120020040,42900
u,1120021000,1120021000,51100
u,1120021010,1120021010,51100
u,1120021020,1120021020,51100
u,1120021030,1120021030,51100
u,1120021040,1120021040,51100
u,1120022000,1120022000,74300
u,1120022010,1120022010,74300
u,1120022020,1120022020,74300
u,1120022030,1120022030,74300
u,1120022040,1120022040,74300
u,1120030000,1120030000,64900
u,1120030010,1120030010,64900
u,1120030020,1120030020,64900
u,1120031000,1120031000,82100
u,1120031010,1120031010,82100
u,1120031020,1120031020,82100
u,1120040000,1120040000,44800
u,1120040010,1120040010,44800
u,1120040020,1120040020,44800
u,1120041000,1120041000,54000
u,1120041010,1120041010,54000
u,1120041020,1120041020,54000
u,1120050000,1120050000,43700
u,1120050010,1120050010,43700
u,1120050020,1120050020,43700
u,1120051000,1120051000,56500
