ctrlCol,itemCode,itemPrice
U,1100000000,0
U,1110014000,34300
U,1110014010,34300
U,1110015000,51300
U,1110015010,51300
U,1110016000,22300
U,1110017000,23800
U,1110018000,17200
U,1110018010,17200
U,1110023000,60300
U,1110023010,60300
U,1110040000,71000
U,1110041000,86200
U,1110042000,31000
U,1110043000,31000
U,1110044000,16900
U,1110044010,16900
U,1110044020,16900
U,1110044030,16900
U,1110044040,16900
U,1110050000,95800
U,1110051000,104700
U,1110052000,125300
U,1110053000,123000
U,1110054000,144300
U,1110055000,152900
U,1110060000,35500
U,1110060010,35500
U,1110060020,35500
U,1110060030,33400
U,1110070000,45800
U,1110070010,45800
U,1110070020,45800
U,1110070030,45800
U,1110071000,17000
U,1110071010,17000
U,1110071020,17000
U,1110072000,20000
U,1110080000,88200
U,1110081000,103500
U,1110082000,104800
U,1120010000,62400
U,1120010010,62400
U,1120010020,62400
U,1120010030,62400
U,1120011000,78000
U,1120011010,78000
U,1120011020,78000
U,1120011030,78000
U,1120012000,113100
U,1120012010,113100
U,1120012020,113100
U,1120012030,113100
U,1120020000,42900
U,1120020010,42900
U,1120020020,42900
U,1120020030,42900
U,1120020040,42900
U,1120021000,51100
U,1120021010,51100
U,1120021020,51100
U,1120021030,51100
U,1120021040,51100
U,1120022000,74300
U,1120022010,74300
U,1120022020,74300
U,1120022030,74300
U,1120022040,74300
U,1120030000,64900
U,1120030010,64900
U,1120030020,64900
U,1120031000,82100
U,1120031010,82100
U,1120031020,82100
U,1120040000,44800
U,1120040010,44800
U,1120040020,44800
U,1120041000,54000
U,1120041010,54000
U,1120041020,54000
U,1120050000,43700
U,1120050010,43700
U,1120050020,43700
U,1120051000,56500
U,1120051010,56500
U,1120051020,56500
U,1120060000,49400
U,1120060010,49400
U,1120060020,49400
U,1120061000,61200
U,1120061010,61200
U,1120061020,61200
U,1120062000,72000
U,1120062010,72000
U,1120062020,72000
U,1120063000,21500
U,1120063010,21500
U,1120063020,21500
U,1120070000,26500
U,1120070010,26500
U,1120070020,26500
U,1120071000,33400
U,1120071010,33400
U,1120071020,33400
U,1120072000,25000
U,1120072010,25000
U,1120072020,25000
U,1120073000,30300
U,1120073010,30300
U,1120073020,30300
U,1120080000,27200
U,1120080010,27200
U,1120080020,27200
U,1120080030,27200
U,1120080040,27200
U,1120090000,38800
U,1120091000,54400
U,1120092000,64600
U,1120093000,6800
U,1120094000,41000
U,1120095000,55800
U,1120096000,67500
U,1120097000,6800
U,1120100000,128300
U,1120100010,128300
U,1120101000,70800
U,1120101010,70800
U,1120102000,86800
U,1120102010,86800
U,1120103000,23300
U,1120103010,23300
U,1120110000,40700
U,1120110010,40700
U,1120110020,40700
U,1120120000,46900
U,1120120010,46900
U,1120120020,46900
U,1120121000,37100
U,1120121010,37100
U,1120121020,37100
U,1120122000,37100
U,1120122010,37100
U,1120122020,37100
U,1120130000,72400
U,1120130010,72400
U,1120130020,72400
U,1120140000,46500
U,1120140010,46500
U,1120140020,46500
U,1120150000,58500
U,1120160000,67100
U,1120160010,67100
U,1120160020,67100
U,1120170000,31300
U,1120170010,31300
U,1120170020,31300
U,1120170030,31300
U,1120171000,39100
U,1120171010,39100
U,1120171020,39100
U,1120171030,39100
U,1120180000,80100
U,1120180010,80100
U,1120180020,80100
U,1120180030,80100
U,1120190000,78800
U,1120190010,78800
U,1120190020,78800
U,1120191000,25800
U,1120191010,25800
U,1120191020,25800
U,1120200000,95800
U,1120200010,95800
U,1120200020,95800
U,1120210000,87600
U,1120210010,87600
U,1120210020,87600
U,1120220000,49900
U,1120220010,49900
U,1120220020,49900
U,1120221000,68300
U,1120221010,68300
U,1120221020,68300
U,1120230000,64500
U,1120230010,64500
U,1120230020,64500
U,1120231000,114400
U,1120231010,114400
U,1120231020,114400
U,1120240000,26300
U,1120240010,26300
U,1120240020,26300
U,1120240030,26300
U,1120250000,39900
U,1120250010,39900
U,1120250020,39900
U,1130010000,40400
U,1130010010,40400
U,1130010020,40400
U,1130011000,44100
U,1130011010,44100
U,1130011020,44100
U,1130012000,48600
U,1130012010,48600
U,1130012020,48600
U,1130013000,46000
U,1130013010,46000
U,1130013020,46000
U,1130014000,51600
U,1130014010,51600
U,1130014020,51600
U,1130015000,56800
U,1130015010,56800
U,1130015020,56800
U,1130016000,22600
U,1130016010,22600
U,1130016020,22600
U,1130024000,17600
U,1130025000,23100
U,1130025010,23100
U,1130025020,23100
U,1130027000,41400
U,1130027010,41400
U,1130027020,41400
U,1130030000,29800
U,1130030010,29800
U,1130030020,29800
U,1130031000,33600
U,1130031010,33600
U,1130031020,33600
U,1130032000,37300
U,1130032010,37300
U,1130032020,37300
U,1130033000,39300
U,1130033010,39300
U,1130033020,39300
U,1130034000,43800
U,1130034010,43800
U,1130034020,43800
U,1130035000,48700
U,1130035010,48700
U,1130035020,48700
U,1130040000,41000
U,1130040010,41000
U,1130040020,41000
U,1130041000,44300
U,1130041010,44300
U,1130041020,44300
U,1130042000,47700
U,1130042010,47700
U,1130042020,47700
U,1130050000,22200
U,1130050010,22200
U,1130050020,22200
U,1130050030,22200
U,1130060000,75500
U,1130060010,75500
U,1130060020,75500
U,1130060030,75500
U,1140010000,34500
U,1140011000,33500
U,1140030000,29900
U,1140030010,29900
U,1170016000,25300
U,1170016010,25300
U,1199999999,0
