商品コード,商品名,商品名略称,商品名カナ,商品区分1コード,商品区分1名,商品区分2コード,商品区分2名,商品区分3コード,商品区分3名,単位,入数,販売消費税区分,販売消費税区分名,仕入消費税区分,仕入消費税区分名,消費税率,標準単価,仕入単価,原価単価,在庫単価,定価,在庫管理,幅,奥行,高さ,才数,EXP才数,個口,発注方法,発注方法名,仕入先コード,摘要,在庫管理名,検索画面表示,検索画面表示名
1100000000,,,,0,,0,,0,,,0,1,税込,0,税抜,1,0,0,0,0,0,1,0,0,0,0,,0,1,都度発注,11,,する,1,表示
1110001000,ﾀﾞｲﾆﾝｸﾞ5点ｾｯﾄ ｷｬﾝｷｬﾝ(WH)　,ﾀﾞｲﾆﾝｸﾞ5点ｾｯﾄ ｷｬﾝｷｬﾝ(WH)　,ﾀﾞｲﾆﾝｸﾞ5点ｾｯﾄ ｷｬﾝｷｬﾝ(WH)　,0,,0,,0,,,0,1,税込,0,税抜,1,35600,19500,19500,19500,0,1,0,0,0,14,,4,1,都度発注,11,,する,1,表示
1110001010,ﾀﾞｲﾆﾝｸﾞ5点ｾｯﾄ ｷｬﾝｷｬﾝ(BK),ﾀﾞｲﾆﾝｸﾞ5点ｾｯﾄ ｷｬﾝｷｬﾝ(BK),ﾀﾞｲﾆﾝｸﾞ5点ｾｯﾄ ｷｬﾝｷｬﾝ(BK),0,,0,,0,,,0,1,税込,0,税抜,1,35600,19500,19500,19500,0,1,0,0,0,14,,4,1,都度発注,11,,する,1,表示
1110001100,ﾀﾞｲﾆﾝｸﾞﾁｪｱ2脚ｾｯﾄ ｷｬﾝｷｬﾝ(WH),ﾀﾞｲﾆﾝｸﾞﾁｪｱ2脚ｾｯﾄ ｷｬﾝｷｬﾝ(WH),ﾀﾞｲﾆﾝｸﾞﾁｪｱ2脚ｾｯﾄ ｷｬﾝｷｬﾝ(WH),0,,0,,0,,,0,1,税込,0,税抜,1,11800,5800,5800,5800,0,1,0,0,0,5,,1,1,都度発注,11,*2脚の値段,する,1,表示
1110001110,ﾀﾞｲﾆﾝｸﾞﾁｪｱ2脚ｾｯﾄ ｷｬﾝｷｬﾝ(BK)　*2脚の値段,ﾀﾞｲﾆﾝｸﾞﾁｪｱ2脚ｾｯﾄ ｷｬﾝｷｬﾝ(BK)　*2脚,ﾀﾞｲﾆﾝｸﾞﾁｪｱ2脚ｾｯﾄ ｷｬﾝｷｬﾝ(BK)　*2脚の値段,0,,0,,0,,,0,1,税込,0,税抜,1,11800,5800,5800,5800,0,1,0,0,0,5,,1,1,都度発注,11,*2脚の値段,する,1,表示
1110001111,ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙ単品 ｷｬﾝｷｬﾝ,ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙ単品 ｷｬﾝｷｬﾝ,ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙ単品 ｷｬﾝｷｬﾝ,0,,0,,0,,,0,1,税込,0,税抜,1,14500,7900,7900,7900,0,1,0,0,0,4,,2,1,都度発注,11,,する,1,表示
1110002000,ﾀﾞｲﾆﾝｸﾞ3点 ｳﾞｨｰﾀ (BK),ﾀﾞｲﾆﾝｸﾞ3点 ｳﾞｨｰﾀ (BK),ﾀﾞｲﾆﾝｸﾞ3点 ｳﾞｨｰﾀ (BK),0,,0,,0,,,0,1,税込,0,税抜,1,20300,11000,11000,11000,0,1,1100,2700,100,8,,3,1,都度発注,11,,する,1,表示
1110002010,ﾀﾞｲﾆﾝｸﾞ3点 ｳﾞｨｰﾀ (WH),ﾀﾞｲﾆﾝｸﾞ3点 ｳﾞｨｰﾀ (WH),ﾀﾞｲﾆﾝｸﾞ3点 ｳﾞｨｰﾀ (WH),0,,0,,0,,,0,1,税込,0,税抜,1,20300,11000,11000,11000,0,1,1100,2700,100,8,,3,1,都度発注,11,,する,1,表示
1110003000,ﾀﾞｲﾆﾝｸﾞ5点 ｳﾞｨｰﾀ (BK),ﾀﾞｲﾆﾝｸﾞ5点 ｳﾞｨｰﾀ (BK),ﾀﾞｲﾆﾝｸﾞ5点 ｳﾞｨｰﾀ (BK),0,,0,,0,,,0,1,税込,0,税抜,1,30700,16500,16500,16500,0,1,0,0,0,15,,4,1,都度発注,11,,する,1,表示
1110003010,ﾀﾞｲﾆﾝｸﾞ5点 ｳﾞｨｰﾀ (WH),ﾀﾞｲﾆﾝｸﾞ5点 ｳﾞｨｰﾀ (WH),ﾀﾞｲﾆﾝｸﾞ5点 ｳﾞｨｰﾀ (WH),0,,0,,0,,,0,1,税込,0,税抜,1,30700,16500,16500,16500,0,1,0,0,0,15,,4,1,都度発注,11,,する,1,表示
1110003050,ﾀﾞｲﾆﾝｸﾞ80ﾃｰﾌﾞﾙ単品 ｳﾞｨｰﾀ,ﾀﾞｲﾆﾝｸﾞ80ﾃｰﾌﾞﾙ単品 ｳﾞｨｰﾀ,ﾀﾞｲﾆﾝｸﾞ80ﾃｰﾌﾞﾙ単品 ｳﾞｨｰﾀ,0,,0,,0,,,0,1,税込,0,税抜,1,10300,5600,5600,5600,0,1,0,0,0,3,,2,1,都度発注,11,,する,1,表示
1110003060,ﾀﾞｲﾆﾝｸﾞ120ﾃｰﾌﾞﾙ単品 ｳﾞｨｰﾀ,ﾀﾞｲﾆﾝｸﾞ120ﾃｰﾌﾞﾙ単品 ｳﾞｨｰﾀ,ﾀﾞｲﾆﾝｸﾞ120ﾃｰﾌﾞﾙ単品 ｳﾞｨｰﾀ,0,,0,,0,,,0,1,税込,0,税抜,1,11800,6200,6200,6200,0,1,0,0,0,3,,2,1,都度発注,11,,する,1,表示
1110003070,ﾀﾞｲﾆﾝｸﾞﾁｪｱ単品 ｳﾞｨｰﾀ (BK)　※2脚ｾｯﾄ,ﾀﾞｲﾆﾝｸﾞﾁｪｱ単品 ｳﾞｨｰﾀ (BK)　※2脚ｾｯ,ﾀﾞｲﾆﾝｸﾞﾁｪｱ単品 ｳﾞｨｰﾀ (BK)　※2脚ｾｯﾄ,0,,0,,0,,,0,1,税込,0,税抜,1,10800,4400,4400,4400,0,1,0,0,0,5,,1,1,都度発注,11,*2脚の値段,する,1,表示
1110003080,ﾀﾞｲﾆﾝｸﾞﾁｪｱ単品 ｳﾞｨｰﾀ (WH)　※2脚ｾｯﾄ,ﾀﾞｲﾆﾝｸﾞﾁｪｱ単品 ｳﾞｨｰﾀ (WH)　※2脚ｾｯ,ﾀﾞｲﾆﾝｸﾞﾁｪｱ単品 ｳﾞｨｰﾀ (WH)　※2脚ｾｯﾄ,0,,0,,0,,,0,1,税込,0,税抜,1,10800,4400,4400,4400,0,1,0,0,0,5,,1,1,都度発注,11,*2脚の値段,する,1,表示
1110014000,ﾀﾞｲﾆﾝｸﾞ3点ｾｯﾄ ﾋﾞｰﾅｽ,ﾀﾞｲﾆﾝｸﾞ3点ｾｯﾄ ﾋﾞｰﾅｽ,ﾀﾞｲﾆﾝｸﾞ3点ｾｯﾄ ﾋﾞｰﾅｽ,0,,0,,0,,,0,1,税込,0,税抜,1,20300,11700,11700,11700,0,1,0,0,0,6,,3,1,都度発注,11,,する,1,表示
