ジャンルID,パス名,商品属性定義書,商品属性定義詳細グループ,項目名（日本語）,必須/任意,入力方式,推奨値・選択肢の有無,入力フォーマット,最大文字数,日付形式,単位有無,楽天推奨単位,楽天推奨単位一覧,複数値可不可,区切り入力最大数,最小値,最大値,商品ページ内同一値登録対象,並び順
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,ブランド名,必須,記述式,あり,STRING,100,-,-,-,-,可,3,-,-,-,1
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,メーカー型番,必須,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,2
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,原産国／製造国,必須,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,3
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,代表カラー,必須,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,4
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,アームレスト付き,ナビゲーション用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,5
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,インテリアのテイスト,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,6
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,素材,ナビゲーション用任意,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,7
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,キャスター付き,ナビゲーション用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,8
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,シリーズ名,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,9
566182,インテリア・寝具・収納 >> イス・チェア >> イス・チェア用部品,家具,イス・チェア,金属の種類,ナビゲーション用任意,記述式,あり,STRING,500,-,-,-,-,不可,-,-,-,-,10
