ID,RGenreName,階層
100816,間仕切り,インテリア・寝具・収納>間仕切り>屏風
100850,玄関収納,インテリア・寝具・収納>収納家具>玄関収納>スリッパラック
101488,こたつ,家電>季節・空調家電>こたつ>その他
101862,寝具カバー・シーツ,インテリア・寝具・収納>寝具>その他
112812,テーブル,インテリア・寝具・収納>テーブル>その他
112814,イス・チェア,インテリア・寝具・収納>イス・チェア>その他
201599,タンス・チェスト,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>収納>おもちゃ箱
203066,玄関収納,インテリア・寝具・収納>収納家具>玄関収納>下駄箱・シューズボックス
203071,AVメディア収納ラック,インテリア・寝具・収納>収納家具>本棚・ラック・カラーボックス>AVメディア収納ラック
203109,小物・ファブリック・その他（インテリア・寝具・収納用品）,インテリア・寝具・収納>収納家具>その他
205167,テーブル,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>テーブル
205168,ラック・シェルフ（家具）,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>収納>ハンガー・ポール
205534,イス・チェア,インテリア・寝具・収納>イス・チェア>クッションチェア
205548,ベッド,インテリア・寝具・収納>ベッド>電動・リクライニングベッド
205555,敷布団,インテリア・寝具・収納>寝具>敷布団
205568,寝具カバー・シーツ,インテリア・寝具・収納>寝具>寝具カバー・シーツ>ベッドカバー・ベッドスプレッド
205582,枕・抱き枕,インテリア・寝具・収納>寝具>枕・抱き枕>枕
205611,毛布・タオルケット,インテリア・寝具・収納>寝具>毛布・ブランケット
205612,寝具カバー・シーツ,インテリア・寝具・収納>寝具>寝具カバー・シーツ>ボックスシーツ
205613,毛布・タオルケット,インテリア・寝具・収納>寝具>タオルケット
205638,ラック・シェルフ（家具）,インテリア・寝具・収納>収納家具>キャビネット・コンソール
205726,デスク,インテリア・寝具・収納>オフィス家具>オフィスデスク・テーブル>オフィスデスク
205732,本収納・書庫,インテリア・寝具・収納>オフィス家具>オフィス収納>本収納・書庫
205738,パーテーション,インテリア・寝具・収納>オフィス家具>パーテーション
205741,テーブル,インテリア・寝具・収納>オフィス家具>オフィスデスク・テーブル>応接用・ロビー用テーブル
205743,テーブル,インテリア・寝具・収納>オフィス家具>オフィスデスク・テーブル>オフィスワークテーブル
205744,テーブル,インテリア・寝具・収納>オフィス家具>オフィスデスク・テーブル>サイドテーブル
205749,間仕切り,インテリア・寝具・収納>間仕切り>スクリーン
205754,イス・チェア,インテリア・寝具・収納>オフィス家具>オフィスチェア>ロビー用チェア・ベンチ
205758,デスク,インテリア・寝具・収納>オフィス家具>オフィスデスク・テーブル>エグゼクティブデスク
205759,デスク,インテリア・寝具・収納>オフィス家具>オフィスデスク・テーブル>デスクシステム
210102,ダイニングセット,インテリア・寝具・収納>ダイニングセット
210110,押入れ収納,インテリア・寝具・収納>収納家具>押入れ収納>押入れすのこ
210113,ベッド,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>ベッド
210116,ベッド,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>デスクベッド
210121,毛布・タオルケット,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>寝具>毛布
210122,枕・抱き枕,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>寝具>枕
210123,寝具カバー・シーツ,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>寝具>その他
210125,タンス・チェスト,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>収納>タンス・チェスト
210126,本棚,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>収納>絵本棚
210128,クローゼット・ワードローブ,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>収納>ワードローブ
215430,ソファ,インテリア・寝具・収納>ソファ・ソファベッド>ソファセット
215476,テーブル,インテリア・寝具・収納>テーブル>ダイニングテーブル
215479,テーブル,インテリア・寝具・収納>テーブル>センターテーブル・ローテーブル
215485,テーブル,インテリア・寝具・収納>テーブル>サイドテーブル・ナイトテーブル
215491,テーブル,インテリア・寝具・収納>テーブル>カウンターテーブル
215497,テーブル,インテリア・寝具・収納>テーブル>コレクションテーブル
215500,テーブル,インテリア・寝具・収納>テーブル>コンソールテーブル
215507,キッチン収納,インテリア・寝具・収納>収納家具>キッチン収納>ポットワゴン
215508,テーブル,インテリア・寝具・収納>テーブル>座卓
215513,イス・チェア,インテリア・寝具・収納>イス・チェア>ダイニングチェア
215515,イス・チェア,インテリア・寝具・収納>イス・チェア>スツール
215520,イス・チェア,インテリア・寝具・収納>イス・チェア>リクライニングチェア
215525,イス・チェア,インテリア・寝具・収納>イス・チェア>ラウンジチェア・パーソナルチェア
215531,イス・チェア,インテリア・寝具・収納>イス・チェア>カウンターチェア
215538,座椅子,インテリア・寝具・収納>イス・チェア>座椅子
215565,ベッド,インテリア・寝具・収納>ベッド>その他
215613,布団,インテリア・寝具・収納>寝具>掛け敷布団セット
215644,寝具カバー・シーツ,インテリア・寝具・収納>寝具>寝具カバー・シーツ>敷布団カバー
