ID,YCategoryName,階層
40606,カーテンレール、ポール,家具、インテリア > カーテン、ブラインド > カーテンレール、ポール
40608,ブラインド,家具、インテリア > カーテン、ブラインド > ブラインド
40610,ロールスクリーン,家具、インテリア > カーテン、ブラインド > ロールスクリーン
40611,プリーツスクリーン,家具、インテリア > カーテン、ブラインド > プリーツスクリーン
40643,オットマン,家具、インテリア > ソファ、ソファベッド > オットマン
40643,オットマン、足置き台,家具、インテリア > 椅子、スツール、座椅子 > オットマン、足置き台
40644,ベンチ,家具、インテリア > 椅子、スツール、座椅子 > ベンチ
40646,ソファカバー,家具、インテリア > ファブリック、カバー類 > ソファカバー
40647,ソファ,家具、インテリア > ソファ、ソファベッド > ソファ
40656,パーソナル、イージーチェア,家具、インテリア > 椅子、スツール、座椅子 > パーソナルチェア
40658,カウンターチェア,家具、インテリア > 椅子、スツール、座椅子 > カウンターチェア
40659,スツール,家具、インテリア > 椅子、スツール、座椅子 > スツール
40660,ダイニングチェア,家具、インテリア > 椅子、スツール、座椅子 > ダイニングチェア
40662,ロッキングチェア,家具、インテリア > 椅子、スツール、座椅子 > ロッキングチェア
40711,デスク用ワゴン、ラック,家具、インテリア > デスク、机 > デスク用ワゴン、ラック
40712,書斎机、ユニットデスク,家具、インテリア > デスク、机 > 書斎机、ユニットデスク
40714,カウンター、ハイテーブル,家具、インテリア > テーブル > カウンター、ハイテーブル
40716,サイドテーブル,家具、インテリア > テーブル > サイドテーブル
40717,ダイニングテーブル,家具、インテリア > テーブル > ダイニングテーブル > ダイニングテーブル
40719,ナイトテーブル,家具、インテリア > テーブル > ナイトテーブル
40727,センターテーブル,家具、インテリア > テーブル > センターテーブル
40805,業務用傘立て,家具、インテリア > オフィス家具 > 受付、応接家具 > 業務用傘立て
40808,タペストリー,家具、インテリア > ウォールデコレーション > タペストリー
40811,レリーフ、アート,家具、インテリア > ウォールデコレーション > レリーフ、アート
40812,イカット,家具、インテリア > ウォールデコレーション > イカット
40833,コレクションボックス,家具、インテリア > インテリア雑貨 > 整理用品、小物入れ > コレクションボックス
40834,オフィス用パーテーション,家具、インテリア > オフィス家具 > パーテーション
40835,オフィスデスク用ワゴン、ラック,家具、インテリア > オフィス家具 > オフィスワゴン、脇机 > ワゴン、ラック
40836,ワークテーブル、作業台,家具、インテリア > オフィス家具 > オフィス、会議テーブル > ワークテーブル、作業台
40838,メールボックス,家具、インテリア > オフィス家具 > オフィス収納 > メールボックス
40862,食器棚、レンジ台,家具、インテリア > キッチン収納 > 食器棚、レンジ台
40917,コンソールテーブル,家具、インテリア > テーブル > コンソールテーブル
40920,医療福祉施設家具,家具、インテリア > オフィス家具 > 医療福祉施設家具
44001,子供用敷き布団,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > 敷き布団
44002,子供用掛け布団,家具、インテリア > 子供部屋家具 > 寝具、布団 > 掛け布団
44002,子供用掛け布団,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > 掛け布団
44004,裏地カーテン、ライナー,家具、インテリア > カーテン、ブラインド > カーテン > 裏地カーテン、ライナー
44005,カフェカーテン,家具、インテリア > カーテン、ブラインド > カーテン > カフェカーテン
44007,シェード、ローマンシェード,家具、インテリア > カーテン、ブラインド > シェード、ローマンシェード
44010,ひざ掛け,家具、インテリア > 布団、寝具 > ひざ掛け
44011,こたつ掛け布団、上掛け,家具、インテリア > こたつ > こたつ布団 > こたつ掛け布団、上掛け
44012,こたつ敷き布団,家具、インテリア > こたつ > こたつ布団 > こたつ敷き布団
44014,クッションフロア,家具、インテリア > カーペット、ラグ、マット > クッションフロア
44016,チェア用床保護マット,家具、インテリア > カーペット、ラグ、マット > マット > チェア用床保護マット
44016,チェア用床保護マット,家具、インテリア > 椅子、スツール、座椅子 > チェア用床保護マット
44017,階段マット,家具、インテリア > カーペット、ラグ、マット > マット > 階段マット
44018,廊下用マット,家具、インテリア > カーペット、ラグ、マット > マット > 廊下用マット
44020,キッズ用カーペット、マット,家具、インテリア > 子供部屋家具 > カーペット、マット
44021,クッション、座布団,家具、インテリア > クッション、座布団
44039,ピクチャーレール,家具、インテリア > ウォールデコレーション > ピクチャーレール
44042,ポスターフレーム,家具、インテリア > インテリア雑貨 > デジタルフォトフレーム、写真立て > ポスターフレーム
44043,キャンドルホルダー,家具、インテリア > インテリア雑貨 > キャンドルホルダー
44045,引掛けシーリング,家具、インテリア > 照明、電球 > 照明部品、パーツ > 引掛けシーリング
44046,ゴミ箱、ダストボックス,家具、インテリア > インテリア雑貨 > ゴミ箱、ダストボックス
44052,オフィステーブルチェアセット,家具、インテリア > オフィス家具 > オフィス、会議テーブル > テーブルチェアセット
44054,オフィステーブル付属品、パーツ,家具、インテリア > オフィス家具 > オフィス、会議テーブル > テーブル付属品、パーツ
