名称,説明
FEATHER（フェザー）とは,軽くてふんわりとした天然素材、ふんわりと沈み込むような優しい弾力が特徴です。つぶれても形を整えながら軽く叩いて空気を入れてあげることで元の形に戻る復元力の高い素材です。湿気を逃がす力にも優れています。
moiss（モイス）とは,MOISSとは耐火性があり、調湿、抗カビ、消臭、有害物質吸着分解などの特徴を備えた非常に優れた建築用素材です。
Hettch社とは,Hettch（ヘティヒ）社とは、ドイツに本社を置く、高級家具・インテリア用金物などを製造販売するメーカーです。
LATEXとは,"LATEXは通常のウレタンと比べ、高反発・体圧分散・自然抗菌・通気性・耐久性に優れた素材です。また、天然LATEXは、ハウスダスト、ダニ、バクテリア等の細菌類、害虫が棲息できない条件を作ります。<br><br><b><font color=""#ff0000"">※原料がゴムですので、ゴムアレルギーをお持ちの方はご使用をお控えください。</font></b>"
OKIN社とは,ヨーロッパにおけるソファ、ベッド用モーターの供給ではトップシェアブランドのOKIN社。最も厳しいと言われるドイツの安全品質基準をクリアした信頼と実績のある品質です。安全設計で静音・耐久性に優れています。
Sバネとは,中材のウレタン等の下に張るソファーの衝撃吸収材。S型をした鋼鉄バネをつないだスプリング。S字に波打ったバネの弾力で支えます。１本１本のスプリングに平均して荷重がかかるように連結し、ヘタリや変形を防ぎます。適度な弾力性と耐久性を備えています。
UV塗装とは,高級な家具やピアノの鏡面塗装に採用されており、塗膜が硬いので、強度があります。キズがつきにくく、お手入れも簡単です。
アリ組みとは,木材の接合部に凹凸をつけて互いに組み合わせる優れた工法。<br>量産の工場では出来ない、職人の手で 1個1個、引出しを合わせながら作り上げていきます。昔から、高級家具・婚礼たんす等に用いられ、引出しなどに最適な、頑丈な構造。
ウェービングベルトとは,糸に巻いた細いゴムを編んだものを、交互に貼り付けることで、ベルトがスプリングの役割を果たし、柔らかな座り心地を生み出します。耐久性に優れ、衝撃吸収材の中では最も多く使われています。
う造りとは,木材の表面をブラスト処理し、木目に凹凸をつけ、年輪を浮かび上がらせる仕上げ方法。表面の木目を浮き立たせる（早材部と晩材部の凹凸）ことにより、表面が固くなり傷がつきにくく、磨耗が少なくなる特徴があります。「木目の美しさ」と「掘りの深さ」が際立ち、光の陰影が醸し出す天然木の風合いをお楽しみいただけます。
エナメル塗装とは,仕上げまでに、何回も下塗り塗装や磨きを繰り返して仕上げます。大変手間のかかる塗装法です。表面がツルツルしていて、水に強い塗膜ですので、湿気、熱、、キズ、汚れに強く、お手入れが簡単。特有の美しい光沢があり清潔感が漂います。ピアノの鏡面仕上げもこの塗装仕上げとなります。
カマホゾ組みとは,下への荷重強度が強く、家づくりに用いられる昔ながらの組み立て方法です。手間がかかるうえ、精度を要求される事から、現在この組み方を用いる家具は大変少なくなっております。
サイレントレールとは,引き出しを勢いよく閉めたても、最後の数センチが閉まりきる前にゆっくりと閉まります。<br>小さなお子さまが指を挟まないようにや、引き出しを閉めた時のショックで中の食器などが割れたり、せっかく並べたナイフやフォークがバラバラになるのを防ぐ目的も兼ねております。<br>高級システムキッチンなどに良く使われるものです。
バージンウレタンとは,座面に高密度35%のヴァージンウレタン（virgin urethane）を使用。ヴァージンウレタンは、キメ細かい良質なウレタン部分のみ切り出して作られたクッション材で、再生ウレタンに比べて硬さにムラがなく耐久性に優れています。適度な沈み込みと弾力性のバランスがとれた硬さを実現。心地よさを追求した素材です。
